Year,earth_land_total,earth_ocean_total
1976,-6.08565714980134,-6.722859058408176
1977,-4.313624058523087,-6.470933757257953
1978,-5.798039524029856,-6.706762054633991
1979,-5.542208362614741,-6.956647403225924
1980,-5.4504891920693606,-6.887270232244495
1981,-5.69640780151722,-7.027753692717701
1982,-6.313170187904914,-6.9805742254181276
1983,-4.550640664794928,-6.256309052461842
1984,-5.788007672457985,-7.2099841459575575
1985,-6.171475502987428,-7.253914406869272
1986,-6.714194056283181,-7.324050310132185
1987,-5.053568556583991,-7.148097004583038
1988,-5.706146277350808,-7.657772843831416
1989,-7.004106441681264,-8.29947783400087
1990,-6.996428924995319,-8.259380606137917
1991,-7.711317612874213,-8.436967214302628
1992,-8.294147645689954,-8.3128082156125
1993,-7.561458519549729,-8.236729684921539
1994,-6.336796563278374,-7.9941703318029305
1995,-6.616993949171935,-8.145141547941341
1996,-8.019224144006225,-8.725307435647903
1997,-7.067670738582532,-8.699409600896344
1998,-5.723085962811661,-8.168428127412485
1999,-8.121714827472537,-8.64676114267514
2000,-8.07398445018836,-8.944718026964505
2001,-7.790166678702989,-9.031307371375787
2002,-7.263397185784261,-8.80661670961252
2003,-8.051827363311538,-9.500227099384169
2004,-9.582653231061835,-10.032234760423258
2005,-8.661057839202066,-10.095663078584737
2006,-10.496046047585198,-10.882308258490776
2007,-10.324005435187129,-10.648178792818172
2008,-11.315326971642188,-11.44393144467655
2009,-11.110458901069398,-11.113926967594592
2010,-10.877103686649544,-11.350243944456164
2011,-12.21541599105355,-12.243346995998914
2012,-11.606389679625199,-12.0863655447861
2013,-12.057358250174003,-12.139833270800517
2014,-12.872805070590601,-12.46725237482625
2015,-11.409006228807423,-11.880384386463696
2016,-11.324306062522638,-11.968818324643845
2017,-12.901859409485008,-12.654905198299607
