Year,earth_land_total,earth_ocean_total
1976,4.863486282710909,-1.222170862446101
1977,5.015418781090849,0.7017947209134803
1978,5.073332720167525,-0.7247068053359174
1979,5.356132105638326,-0.18607626142366218
1980,5.300272340317159,-0.15021684999646023
1981,5.13731736709472,-0.5590904264926307
1982,5.093696524213594,-1.2194736559187056
1983,5.074430844802601,0.5237901780400622
1984,5.257045437600025,-0.5309622335578174
1985,5.415937141435364,-0.7555383615706808
1986,5.581620762225714,-1.1325732930005676
1987,5.723752380254578,0.6701838253432209
1988,5.934669845689147,0.22852356858377343
1989,6.064519909951296,-0.9395865323893177
1990,6.062803884519362,-0.9336250439717472
1991,6.130491539510412,-1.5808260801208789
1992,6.069446788521785,-2.2247008602302105
1993,6.0602772043707445,-1.5011813156091507
1994,6.16542286925516,-0.17137370777029792
1995,6.2979073535398165,-0.31908660102685893
1996,6.439796693936909,-1.5794274505748638
1997,6.547004749302733,-0.5206659918392338
1998,6.565311465060435,0.8422255139808121
1999,6.551079664353197,-1.5706351622184478
2000,6.721371629537759,-1.3526128214116158
2001,6.882453701575867,-0.9077129729861293
2002,6.982124980814131,-0.28127220195810154
2003,7.363948345756331,-0.687879014117871
2004,7.729192600647143,-1.8534606294212073
2005,8.028112951568326,-0.632944891233086
2006,8.318818408523484,-2.1772276379052737
2007,8.486391940179736,-1.837613486426376
2008,8.761231056066086,-2.5540959107048113
2009,8.68406107518846,-2.4263978384520897
2010,9.115974342915239,-1.7611293521452138
2011,9.489859538792235,-2.725556451277945
2012,9.661611879664536,-1.9447778058959644
2013,9.75993598107735,-2.297422272943173
2014,9.842913291768333,-3.029891784042397
2015,9.82591914248581,-1.5830870961559065
2016,9.869906226681234,-1.454399824156897
2017,9.993818655792596,-2.908040746453725
