Year,TPI
1959.0416666667777,-0.165
1959.1250000001112,-0.16399999999999998
1959.2083333334447,-0.162
1959.2916666667782,-0.161
1959.3750000001116,-0.16
1959.4583333334451,-0.159
1959.5416666667786,-0.159
1959.625000000112,-0.159
1959.7083333334456,-0.159
1959.791666666779,-0.159
1959.8750000001125,-0.16
1959.958333333446,-0.16
1960.0416666667795,-0.161
1960.125000000113,-0.163
1960.2083333334465,-0.16399999999999998
1960.29166666678,-0.165
1960.3750000001135,-0.16699999999999998
1960.458333333447,-0.16899999999999998
1960.5416666667804,-0.171
1960.625000000114,-0.17300000000000001
1960.7083333334474,-0.175
1960.7916666667809,-0.177
1960.8750000001144,-0.179
1960.9583333334479,-0.182
1961.0416666667813,-0.184
1961.1250000001148,-0.18600000000000003
1961.2083333334483,-0.188
1961.2916666667818,-0.191
1961.3750000001153,-0.193
1961.4583333334488,-0.195
1961.5416666667822,-0.19699999999999998
1961.6250000001157,-0.19899999999999998
1961.7083333334492,-0.201
1961.7916666667827,-0.203
1961.8750000001162,-0.205
1961.9583333334497,-0.20600000000000002
1962.0416666667832,-0.20800000000000002
1962.1250000001166,-0.209
1962.2083333334501,-0.21
1962.2916666667836,-0.21100000000000002
1962.375000000117,-0.212
1962.4583333334506,-0.212
1962.541666666784,-0.212
1962.6250000001176,-0.212
1962.708333333451,-0.212
1962.7916666667845,-0.212
1962.875000000118,-0.21100000000000002
1962.9583333334515,-0.21
1963.041666666785,-0.209
1963.1250000001185,-0.20800000000000002
1963.208333333452,-0.20600000000000002
1963.2916666667854,-0.205
1963.375000000119,-0.20199999999999999
1963.4583333334524,-0.2
1963.5416666667859,-0.19699999999999998
1963.6250000001194,-0.195
1963.7083333334529,-0.192
1963.7916666667863,-0.188
1963.8750000001198,-0.185
1963.9583333334533,-0.18100000000000002
1964.0416666667868,-0.177
1964.1250000001203,-0.17300000000000001
1964.2083333334538,-0.16899999999999998
1964.2916666667873,-0.16399999999999998
1964.3750000001207,-0.16
1964.4583333334542,-0.155
1964.5416666667877,-0.15
1964.6250000001212,-0.146
1964.7083333334547,-0.141
1964.7916666667882,-0.136
1964.8750000001216,-0.131
1964.9583333334551,-0.127
1965.0416666667886,-0.122
1965.125000000122,-0.11800000000000001
1965.2083333334556,-0.113
1965.291666666789,-0.109
1965.3750000001226,-0.105
1965.458333333456,-0.10099999999999999
1965.5416666667895,-0.09699999999999999
1965.625000000123,-0.094
1965.7083333334565,-0.09
1965.79166666679,-0.087
1965.8750000001235,-0.084
1965.958333333457,-0.08199999999999999
1966.0416666667904,-0.08
1966.125000000124,-0.077
1966.2083333334574,-0.076
1966.291666666791,-0.07400000000000001
1966.3750000001244,-0.073
1966.4583333334579,-0.07200000000000001
1966.5416666667913,-0.071
1966.6250000001248,-0.07
1966.7083333334583,-0.07
1966.7916666667918,-0.07
1966.8750000001253,-0.07
1966.9583333334588,-0.071
1967.0416666667923,-0.071
1967.1250000001257,-0.07200000000000001
1967.2083333334592,-0.073
1967.2916666667927,-0.075
1967.3750000001262,-0.076
1967.4583333334597,-0.078
1967.5416666667932,-0.08
1967.6250000001266,-0.08199999999999999
1967.7083333334601,-0.085
1967.7916666667936,-0.08800000000000001
1967.875000000127,-0.091
1967.9583333334606,-0.094
1968.041666666794,-0.098
1968.1250000001276,-0.102
1968.208333333461,-0.106
1968.2916666667945,-0.11
1968.375000000128,-0.114
1968.4583333334615,-0.11900000000000001
1968.541666666795,-0.124
1968.6250000001285,-0.129
1968.708333333462,-0.134
1968.7916666667954,-0.139
1968.875000000129,-0.14400000000000002
1968.9583333334624,-0.15
1969.041666666796,-0.156
1969.1250000001294,-0.162
1969.2083333334629,-0.168
1969.2916666667963,-0.174
1969.3750000001298,-0.18
1969.4583333334633,-0.187
1969.5416666667968,-0.193
1969.6250000001303,-0.2
1969.7083333334638,-0.207
1969.7916666667973,-0.214
1969.8750000001307,-0.221
1969.9583333334642,-0.228
1970.0416666667977,-0.235
1970.1250000001312,-0.242
1970.2083333334647,-0.25
1970.2916666667982,-0.257
1970.3750000001316,-0.265
1970.4583333334651,-0.272
1970.5416666667986,-0.28
1970.625000000132,-0.28800000000000003
1970.7083333334656,-0.295
1970.791666666799,-0.303
1970.8750000001326,-0.311
1970.958333333466,-0.319
1971.0416666667995,-0.326
1971.125000000133,-0.33399999999999996
1971.2083333334665,-0.341
1971.2916666668,-0.349
1971.3750000001335,-0.35600000000000004
1971.458333333467,-0.364
1971.5416666668004,-0.371
1971.625000000134,-0.37799999999999995
1971.7083333334674,-0.384
1971.791666666801,-0.391
1971.8750000001344,-0.397
1971.9583333334679,-0.40299999999999997
1972.0416666668013,-0.409
1972.1250000001348,-0.415
1972.2083333334683,-0.42
1972.2916666668018,-0.426
1972.3750000001353,-0.431
1972.4583333334688,-0.435
1972.5416666668023,-0.44
1972.6250000001357,-0.444
1972.7083333334692,-0.44799999999999995
1972.7916666668027,-0.451
1972.8750000001362,-0.455
1972.9583333334697,-0.45799999999999996
1973.0416666668032,-0.46
1973.1250000001367,-0.46299999999999997
1973.2083333334701,-0.465
1973.2916666668036,-0.467
1973.375000000137,-0.46799999999999997
1973.4583333334706,-0.469
1973.541666666804,-0.47
1973.6250000001376,-0.47
1973.708333333471,-0.47
1973.7916666668045,-0.469
1973.875000000138,-0.469
1973.9583333334715,-0.467
1974.041666666805,-0.466
1974.1250000001385,-0.46299999999999997
1974.208333333472,-0.461
1974.2916666668054,-0.45799999999999996
1974.375000000139,-0.45399999999999996
1974.4583333334724,-0.451
1974.541666666806,-0.446
1974.6250000001394,-0.442
1974.7083333334729,-0.43700000000000006
1974.7916666668063,-0.431
1974.8750000001398,-0.425
1974.9583333334733,-0.419
1975.0416666668068,-0.41200000000000003
1975.1250000001403,-0.405
1975.2083333334738,-0.39799999999999996
1975.2916666668073,-0.39
1975.3750000001407,-0.382
1975.4583333334742,-0.373
1975.5416666668077,-0.364
1975.6250000001412,-0.355
1975.7083333334747,-0.34600000000000003
1975.7916666668082,-0.336
1975.8750000001417,-0.326
1975.9583333334751,-0.316
1976.0416666668086,-0.306
1976.125000000142,-0.29600000000000004
1976.2083333334756,-0.285
