Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,111,277.56
World,OWID_WRL,112,277.572
World,OWID_WRL,113,277.585
World,OWID_WRL,114,277.599
World,OWID_WRL,115,277.613
World,OWID_WRL,116,277.627
World,OWID_WRL,117,277.643
World,OWID_WRL,118,277.659
World,OWID_WRL,119,277.676
World,OWID_WRL,120,277.694
World,OWID_WRL,121,277.714
World,OWID_WRL,122,277.734
World,OWID_WRL,123,277.756
World,OWID_WRL,124,277.779
World,OWID_WRL,125,277.803
World,OWID_WRL,126,277.828
World,OWID_WRL,127,277.856
World,OWID_WRL,128,277.884
World,OWID_WRL,129,277.915
World,OWID_WRL,130,277.947
World,OWID_WRL,131,277.981
World,OWID_WRL,132,278.016
World,OWID_WRL,133,278.054
World,OWID_WRL,134,278.094
World,OWID_WRL,135,278.136
World,OWID_WRL,136,278.18
World,OWID_WRL,137,278.226
World,OWID_WRL,138,278.274
World,OWID_WRL,139,278.325
World,OWID_WRL,140,278.377
World,OWID_WRL,141,278.43
World,OWID_WRL,142,278.486
World,OWID_WRL,143,278.542
World,OWID_WRL,144,278.6
World,OWID_WRL,145,278.659
World,OWID_WRL,146,278.719
World,OWID_WRL,147,278.78
World,OWID_WRL,148,278.841
World,OWID_WRL,149,278.903
World,OWID_WRL,150,278.965
World,OWID_WRL,151,279.028
World,OWID_WRL,152,279.09
World,OWID_WRL,153,279.153
World,OWID_WRL,154,279.215
World,OWID_WRL,155,279.277
World,OWID_WRL,156,279.338
World,OWID_WRL,157,279.399
World,OWID_WRL,158,279.459
World,OWID_WRL,159,279.518
World,OWID_WRL,160,279.576
World,OWID_WRL,161,279.632
World,OWID_WRL,162,279.688
World,OWID_WRL,163,279.742
World,OWID_WRL,164,279.794
World,OWID_WRL,165,279.844
World,OWID_WRL,166,279.893
World,OWID_WRL,167,279.939
World,OWID_WRL,168,279.983
World,OWID_WRL,169,280.025
World,OWID_WRL,170,280.064
World,OWID_WRL,171,280.101
World,OWID_WRL,172,280.137
World,OWID_WRL,173,280.17
World,OWID_WRL,174,280.201
World,OWID_WRL,175,280.231
World,OWID_WRL,176,280.258
World,OWID_WRL,177,280.285
World,OWID_WRL,178,280.31
World,OWID_WRL,179,280.333
World,OWID_WRL,180,280.356
World,OWID_WRL,181,280.377
World,OWID_WRL,182,280.397
World,OWID_WRL,183,280.417
World,OWID_WRL,184,280.436
World,OWID_WRL,185,280.454
World,OWID_WRL,186,280.471
World,OWID_WRL,187,280.488
World,OWID_WRL,188,280.505
World,OWID_WRL,189,280.522
World,OWID_WRL,190,280.539
World,OWID_WRL,191,280.555
World,OWID_WRL,192,280.572
World,OWID_WRL,193,280.589
World,OWID_WRL,194,280.606
World,OWID_WRL,195,280.624
World,OWID_WRL,196,280.643
World,OWID_WRL,197,280.662
World,OWID_WRL,198,280.682
World,OWID_WRL,199,280.703
World,OWID_WRL,200,280.725
World,OWID_WRL,201,280.748
World,OWID_WRL,202,280.773
World,OWID_WRL,203,280.798
World,OWID_WRL,204,280.825
World,OWID_WRL,205,280.854
World,OWID_WRL,206,280.883
World,OWID_WRL,207,280.913
World,OWID_WRL,208,280.944
World,OWID_WRL,209,280.975
World,OWID_WRL,210,281.007
World,OWID_WRL,211,281.039
World,OWID_WRL,212,281.07
World,OWID_WRL,213,281.102
World,OWID_WRL,214,281.133
World,OWID_WRL,215,281.163
World,OWID_WRL,216,281.193
World,OWID_WRL,217,281.222
World,OWID_WRL,218,281.249
World,OWID_WRL,219,281.276
World,OWID_WRL,220,281.301
World,OWID_WRL,221,281.324
World,OWID_WRL,222,281.346
World,OWID_WRL,223,281.365
World,OWID_WRL,224,281.383
World,OWID_WRL,225,281.398
World,OWID_WRL,226,281.411
World,OWID_WRL,227,281.421
World,OWID_WRL,228,281.428
World,OWID_WRL,229,281.432
World,OWID_WRL,230,281.433
World,OWID_WRL,231,281.432
World,OWID_WRL,232,281.427
World,OWID_WRL,233,281.421
World,OWID_WRL,234,281.411
World,OWID_WRL,235,281.4
World,OWID_WRL,236,281.386
World,OWID_WRL,237,281.37
World,OWID_WRL,238,281.352
World,OWID_WRL,239,281.332
World,OWID_WRL,240,281.31
World,OWID_WRL,241,281.286
World,OWID_WRL,242,281.261
World,OWID_WRL,243,281.234
World,OWID_WRL,244,281.205
World,OWID_WRL,245,281.176
World,OWID_WRL,246,281.145
World,OWID_WRL,247,281.113
World,OWID_WRL,248,281.079
World,OWID_WRL,249,281.045
World,OWID_WRL,250,281.01
World,OWID_WRL,251,280.974
World,OWID_WRL,252,280.938
World,OWID_WRL,253,280.901
World,OWID_WRL,254,280.864
World,OWID_WRL,255,280.826
World,OWID_WRL,256,280.788
World,OWID_WRL,257,280.75
World,OWID_WRL,258,280.712
World,OWID_WRL,259,280.674
World,OWID_WRL,260,280.636
World,OWID_WRL,261,280.599
World,OWID_WRL,262,280.562
World,OWID_WRL,263,280.525
World,OWID_WRL,264,280.489
World,OWID_WRL,265,280.453
World,OWID_WRL,266,280.419
World,OWID_WRL,267,280.385
World,OWID_WRL,268,280.352
World,OWID_WRL,269,280.321
World,OWID_WRL,270,280.29
World,OWID_WRL,271,280.261
World,OWID_WRL,272,280.233
World,OWID_WRL,273,280.207
World,OWID_WRL,274,280.182
World,OWID_WRL,275,280.159
World,OWID_WRL,276,280.138
World,OWID_WRL,277,280.118
World,OWID_WRL,278,280.1
World,OWID_WRL,279,280.083
World,OWID_WRL,280,280.067
World,OWID_WRL,281,280.052
World,OWID_WRL,282,280.038
World,OWID_WRL,283,280.026
World,OWID_WRL,284,280.014
World,OWID_WRL,285,280.002
World,OWID_WRL,286,279.991
World,OWID_WRL,287,279.981
World,OWID_WRL,288,279.971
World,OWID_WRL,289,279.961
World,OWID_WRL,290,279.952
World,OWID_WRL,291,279.942
World,OWID_WRL,292,279.933
World,OWID_WRL,293,279.923
World,OWID_WRL,294,279.913
World,OWID_WRL,295,279.902
World,OWID_WRL,296,279.892
World,OWID_WRL,297,279.88
World,OWID_WRL,298,279.868
World,OWID_WRL,299,279.855
World,OWID_WRL,300,279.841
World,OWID_WRL,301,279.826
World,OWID_WRL,302,279.81
World,OWID_WRL,303,279.792
World,OWID_WRL,304,279.774
World,OWID_WRL,305,279.754
World,OWID_WRL,306,279.733
World,OWID_WRL,307,279.71
World,OWID_WRL,308,279.687
World,OWID_WRL,309,279.662
World,OWID_WRL,310,279.636
World,OWID_WRL,311,279.608
World,OWID_WRL,312,279.58
World,OWID_WRL,313,279.55
World,OWID_WRL,314,279.519
World,OWID_WRL,315,279.487
World,OWID_WRL,316,279.453
World,OWID_WRL,317,279.419
World,OWID_WRL,318,279.383
World,OWID_WRL,319,279.346
World,OWID_WRL,320,279.308
World,OWID_WRL,321,279.268
World,OWID_WRL,322,279.228
World,OWID_WRL,323,279.186
World,OWID_WRL,324,279.143
World,OWID_WRL,325,279.099
World,OWID_WRL,326,279.054
World,OWID_WRL,327,279.008
World,OWID_WRL,328,278.96
World,OWID_WRL,329,278.912
World,OWID_WRL,330,278.862
World,OWID_WRL,331,278.811
World,OWID_WRL,332,278.759
World,OWID_WRL,333,278.707
World,OWID_WRL,334,278.653
World,OWID_WRL,335,278.599
World,OWID_WRL,336,278.544
World,OWID_WRL,337,278.489
World,OWID_WRL,338,278.433
World,OWID_WRL,339,278.377
World,OWID_WRL,340,278.32
World,OWID_WRL,341,278.264
World,OWID_WRL,342,278.207
World,OWID_WRL,343,278.15
World,OWID_WRL,344,278.093
World,OWID_WRL,345,278.037
World,OWID_WRL,346,277.98
World,OWID_WRL,347,277.924
World,OWID_WRL,348,277.868
World,OWID_WRL,349,277.813
World,OWID_WRL,350,277.759
World,OWID_WRL,351,277.705
World,OWID_WRL,352,277.651
World,OWID_WRL,353,277.599
World,OWID_WRL,354,277.547
World,OWID_WRL,355,277.497
World,OWID_WRL,356,277.447
World,OWID_WRL,357,277.399
World,OWID_WRL,358,277.352
World,OWID_WRL,359,277.306
World,OWID_WRL,360,277.262
World,OWID_WRL,361,277.219
World,OWID_WRL,362,277.178
World,OWID_WRL,363,277.138
World,OWID_WRL,364,277.101
World,OWID_WRL,365,277.065
World,OWID_WRL,366,277.031
World,OWID_WRL,367,276.998
World,OWID_WRL,368,276.968
World,OWID_WRL,369,276.94
World,OWID_WRL,370,276.913
World,OWID_WRL,371,276.887
World,OWID_WRL,372,276.864
World,OWID_WRL,373,276.842
World,OWID_WRL,374,276.821
World,OWID_WRL,375,276.803
World,OWID_WRL,376,276.785
World,OWID_WRL,377,276.769
World,OWID_WRL,378,276.755
World,OWID_WRL,379,276.741
World,OWID_WRL,380,276.729
World,OWID_WRL,381,276.719
World,OWID_WRL,382,276.709
World,OWID_WRL,383,276.701
World,OWID_WRL,384,276.694
World,OWID_WRL,385,276.688
World,OWID_WRL,386,276.683
World,OWID_WRL,387,276.679
World,OWID_WRL,388,276.676
World,OWID_WRL,389,276.674
World,OWID_WRL,390,276.673
World,OWID_WRL,391,276.673
World,OWID_WRL,392,276.673
World,OWID_WRL,393,276.675
World,OWID_WRL,394,276.677
World,OWID_WRL,395,276.68
World,OWID_WRL,396,276.683
World,OWID_WRL,397,276.687
World,OWID_WRL,398,276.692
World,OWID_WRL,399,276.697
World,OWID_WRL,400,276.702
World,OWID_WRL,401,276.709
World,OWID_WRL,402,276.715
World,OWID_WRL,403,276.722
World,OWID_WRL,404,276.729
World,OWID_WRL,405,276.737
World,OWID_WRL,406,276.745
World,OWID_WRL,407,276.752
World,OWID_WRL,408,276.761
World,OWID_WRL,409,276.769
World,OWID_WRL,410,276.777
World,OWID_WRL,411,276.786
World,OWID_WRL,412,276.794
World,OWID_WRL,413,276.802
World,OWID_WRL,414,276.81
World,OWID_WRL,415,276.818
World,OWID_WRL,416,276.827
World,OWID_WRL,417,276.834
World,OWID_WRL,418,276.842
World,OWID_WRL,419,276.849
World,OWID_WRL,420,276.856
World,OWID_WRL,421,276.862
World,OWID_WRL,422,276.868
World,OWID_WRL,423,276.874
World,OWID_WRL,424,276.879
World,OWID_WRL,425,276.884
World,OWID_WRL,426,276.888
World,OWID_WRL,427,276.891
World,OWID_WRL,428,276.894
World,OWID_WRL,429,276.896
World,OWID_WRL,430,276.897
World,OWID_WRL,431,276.898
World,OWID_WRL,432,276.898
World,OWID_WRL,433,276.897
World,OWID_WRL,434,276.896
World,OWID_WRL,435,276.895
World,OWID_WRL,436,276.892
World,OWID_WRL,437,276.889
World,OWID_WRL,438,276.886
World,OWID_WRL,439,276.882
World,OWID_WRL,440,276.878
World,OWID_WRL,441,276.873
World,OWID_WRL,442,276.868
World,OWID_WRL,443,276.863
World,OWID_WRL,444,276.857
World,OWID_WRL,445,276.851
World,OWID_WRL,446,276.845
World,OWID_WRL,447,276.838
World,OWID_WRL,448,276.831
World,OWID_WRL,449,276.824
World,OWID_WRL,450,276.817
World,OWID_WRL,451,276.81
World,OWID_WRL,452,276.802
World,OWID_WRL,453,276.794
World,OWID_WRL,454,276.787
World,OWID_WRL,455,276.779
World,OWID_WRL,456,276.771
World,OWID_WRL,457,276.763
World,OWID_WRL,458,276.755
World,OWID_WRL,459,276.747
World,OWID_WRL,460,276.74
World,OWID_WRL,461,276.732
World,OWID_WRL,462,276.724
World,OWID_WRL,463,276.717
World,OWID_WRL,464,276.71
World,OWID_WRL,465,276.702
World,OWID_WRL,466,276.695
World,OWID_WRL,467,276.688
World,OWID_WRL,468,276.681
World,OWID_WRL,469,276.673
World,OWID_WRL,470,276.666
World,OWID_WRL,471,276.659
World,OWID_WRL,472,276.651
World,OWID_WRL,473,276.644
World,OWID_WRL,474,276.636
World,OWID_WRL,475,276.629
World,OWID_WRL,476,276.621
World,OWID_WRL,477,276.613
World,OWID_WRL,478,276.604
World,OWID_WRL,479,276.596
World,OWID_WRL,480,276.587
World,OWID_WRL,481,276.578
World,OWID_WRL,482,276.568
World,OWID_WRL,483,276.559
World,OWID_WRL,484,276.549
World,OWID_WRL,485,276.538
World,OWID_WRL,486,276.528
World,OWID_WRL,487,276.517
World,OWID_WRL,488,276.505
World,OWID_WRL,489,276.493
World,OWID_WRL,490,276.481
World,OWID_WRL,491,276.468
World,OWID_WRL,492,276.455
World,OWID_WRL,493,276.441
World,OWID_WRL,494,276.427
World,OWID_WRL,495,276.412
World,OWID_WRL,496,276.396
World,OWID_WRL,497,276.38
World,OWID_WRL,498,276.363
World,OWID_WRL,499,276.346
World,OWID_WRL,500,276.328
World,OWID_WRL,501,276.309
World,OWID_WRL,502,276.29
World,OWID_WRL,503,276.27
World,OWID_WRL,504,276.25
World,OWID_WRL,505,276.23
World,OWID_WRL,506,276.21
World,OWID_WRL,507,276.189
World,OWID_WRL,508,276.169
World,OWID_WRL,509,276.149
World,OWID_WRL,510,276.129
World,OWID_WRL,511,276.11
World,OWID_WRL,512,276.091
World,OWID_WRL,513,276.072
World,OWID_WRL,514,276.055
World,OWID_WRL,515,276.038
World,OWID_WRL,516,276.022
World,OWID_WRL,517,276.007
World,OWID_WRL,518,275.993
World,OWID_WRL,519,275.981
World,OWID_WRL,520,275.969
World,OWID_WRL,521,275.959
World,OWID_WRL,522,275.951
World,OWID_WRL,523,275.945
World,OWID_WRL,524,275.94
World,OWID_WRL,525,275.937
World,OWID_WRL,526,275.935
World,OWID_WRL,527,275.936
World,OWID_WRL,528,275.94
World,OWID_WRL,529,275.945
World,OWID_WRL,530,275.953
World,OWID_WRL,531,275.963
World,OWID_WRL,532,275.976
World,OWID_WRL,533,275.991
World,OWID_WRL,534,276.01
World,OWID_WRL,535,276.031
World,OWID_WRL,536,276.055
World,OWID_WRL,537,276.082
World,OWID_WRL,538,276.113
World,OWID_WRL,539,276.146
World,OWID_WRL,540,276.182
World,OWID_WRL,541,276.22
World,OWID_WRL,542,276.261
World,OWID_WRL,543,276.303
World,OWID_WRL,544,276.348
World,OWID_WRL,545,276.394
World,OWID_WRL,546,276.441
World,OWID_WRL,547,276.49
World,OWID_WRL,548,276.539
World,OWID_WRL,549,276.589
World,OWID_WRL,550,276.64
World,OWID_WRL,551,276.691
World,OWID_WRL,552,276.741
World,OWID_WRL,553,276.792
World,OWID_WRL,554,276.843
World,OWID_WRL,555,276.892
World,OWID_WRL,556,276.941
World,OWID_WRL,557,276.989
World,OWID_WRL,558,277.036
World,OWID_WRL,559,277.08
World,OWID_WRL,560,277.124
World,OWID_WRL,561,277.165
World,OWID_WRL,562,277.204
World,OWID_WRL,563,277.241
World,OWID_WRL,564,277.276
World,OWID_WRL,565,277.307
World,OWID_WRL,566,277.336
World,OWID_WRL,567,277.361
World,OWID_WRL,568,277.382
World,OWID_WRL,569,277.4
World,OWID_WRL,570,277.415
World,OWID_WRL,571,277.425
World,OWID_WRL,572,277.43
World,OWID_WRL,573,277.431
World,OWID_WRL,574,277.428
World,OWID_WRL,575,277.421
World,OWID_WRL,576,277.411
World,OWID_WRL,577,277.398
World,OWID_WRL,578,277.381
World,OWID_WRL,579,277.362
World,OWID_WRL,580,277.341
World,OWID_WRL,581,277.319
World,OWID_WRL,582,277.295
World,OWID_WRL,583,277.27
World,OWID_WRL,584,277.244
World,OWID_WRL,585,277.217
World,OWID_WRL,586,277.191
World,OWID_WRL,587,277.165
World,OWID_WRL,588,277.14
World,OWID_WRL,589,277.116
World,OWID_WRL,590,277.093
World,OWID_WRL,591,277.072
World,OWID_WRL,592,277.054
World,OWID_WRL,593,277.037
World,OWID_WRL,594,277.024
World,OWID_WRL,595,277.013
World,OWID_WRL,596,277.006
World,OWID_WRL,597,277.003
World,OWID_WRL,598,277.003
World,OWID_WRL,599,277.007
World,OWID_WRL,600,277.013
World,OWID_WRL,601,277.023
World,OWID_WRL,602,277.036
World,OWID_WRL,603,277.053
World,OWID_WRL,604,277.071
World,OWID_WRL,605,277.093
World,OWID_WRL,606,277.117
World,OWID_WRL,607,277.143
World,OWID_WRL,608,277.172
World,OWID_WRL,609,277.203
World,OWID_WRL,610,277.235
World,OWID_WRL,611,277.27
World,OWID_WRL,612,277.307
World,OWID_WRL,613,277.345
World,OWID_WRL,614,277.385
World,OWID_WRL,615,277.426
World,OWID_WRL,616,277.468
World,OWID_WRL,617,277.512
World,OWID_WRL,618,277.556
World,OWID_WRL,619,277.602
World,OWID_WRL,620,277.648
World,OWID_WRL,621,277.695
World,OWID_WRL,622,277.742
World,OWID_WRL,623,277.79
World,OWID_WRL,624,277.838
World,OWID_WRL,625,277.887
World,OWID_WRL,626,277.935
World,OWID_WRL,627,277.983
World,OWID_WRL,628,278.031
World,OWID_WRL,629,278.079
World,OWID_WRL,630,278.126
World,OWID_WRL,631,278.172
World,OWID_WRL,632,278.218
World,OWID_WRL,633,278.263
World,OWID_WRL,634,278.307
World,OWID_WRL,635,278.351
World,OWID_WRL,636,278.393
World,OWID_WRL,637,278.435
World,OWID_WRL,638,278.476
World,OWID_WRL,639,278.516
World,OWID_WRL,640,278.555
World,OWID_WRL,641,278.594
World,OWID_WRL,642,278.632
World,OWID_WRL,643,278.669
World,OWID_WRL,644,278.706
World,OWID_WRL,645,278.742
World,OWID_WRL,646,278.777
World,OWID_WRL,647,278.811
World,OWID_WRL,648,278.845
World,OWID_WRL,649,278.879
World,OWID_WRL,650,278.911
World,OWID_WRL,651,278.943
World,OWID_WRL,652,278.975
World,OWID_WRL,653,279.006
World,OWID_WRL,654,279.036
World,OWID_WRL,655,279.066
World,OWID_WRL,656,279.095
World,OWID_WRL,657,279.124
World,OWID_WRL,658,279.153
World,OWID_WRL,659,279.18
World,OWID_WRL,660,279.208
World,OWID_WRL,661,279.235
World,OWID_WRL,662,279.261
World,OWID_WRL,663,279.287
World,OWID_WRL,664,279.313
World,OWID_WRL,665,279.338
World,OWID_WRL,666,279.363
World,OWID_WRL,667,279.388
World,OWID_WRL,668,279.412
World,OWID_WRL,669,279.436
World,OWID_WRL,670,279.459
World,OWID_WRL,671,279.482
World,OWID_WRL,672,279.505
World,OWID_WRL,673,279.526
World,OWID_WRL,674,279.547
World,OWID_WRL,675,279.567
World,OWID_WRL,676,279.587
World,OWID_WRL,677,279.606
World,OWID_WRL,678,279.623
World,OWID_WRL,679,279.639
World,OWID_WRL,680,279.655
World,OWID_WRL,681,279.669
World,OWID_WRL,682,279.682
World,OWID_WRL,683,279.693
World,OWID_WRL,684,279.704
World,OWID_WRL,685,279.712
World,OWID_WRL,686,279.719
World,OWID_WRL,687,279.725
World,OWID_WRL,688,279.728
World,OWID_WRL,689,279.731
World,OWID_WRL,690,279.731
World,OWID_WRL,691,279.729
World,OWID_WRL,692,279.725
World,OWID_WRL,693,279.719
World,OWID_WRL,694,279.711
World,OWID_WRL,695,279.701
World,OWID_WRL,696,279.689
World,OWID_WRL,697,279.674
World,OWID_WRL,698,279.657
World,OWID_WRL,699,279.637
World,OWID_WRL,700,279.615
World,OWID_WRL,701,279.591
World,OWID_WRL,702,279.565
World,OWID_WRL,703,279.536
World,OWID_WRL,704,279.506
World,OWID_WRL,705,279.474
World,OWID_WRL,706,279.441
World,OWID_WRL,707,279.406
World,OWID_WRL,708,279.37
World,OWID_WRL,709,279.333
World,OWID_WRL,710,279.295
World,OWID_WRL,711,279.257
World,OWID_WRL,712,279.217
World,OWID_WRL,713,279.177
World,OWID_WRL,714,279.137
World,OWID_WRL,715,279.097
World,OWID_WRL,716,279.057
World,OWID_WRL,717,279.017
World,OWID_WRL,718,278.977
World,OWID_WRL,719,278.937
World,OWID_WRL,720,278.898
World,OWID_WRL,721,278.86
World,OWID_WRL,722,278.823
World,OWID_WRL,723,278.787
World,OWID_WRL,724,278.752
World,OWID_WRL,725,278.718
World,OWID_WRL,726,278.686
World,OWID_WRL,727,278.656
World,OWID_WRL,728,278.627
World,OWID_WRL,729,278.6
World,OWID_WRL,730,278.575
World,OWID_WRL,731,278.553
World,OWID_WRL,732,278.532
World,OWID_WRL,733,278.514
World,OWID_WRL,734,278.498
World,OWID_WRL,735,278.483
World,OWID_WRL,736,278.47
World,OWID_WRL,737,278.459
World,OWID_WRL,738,278.449
World,OWID_WRL,739,278.441
World,OWID_WRL,740,278.435
World,OWID_WRL,741,278.429
World,OWID_WRL,742,278.425
World,OWID_WRL,743,278.423
World,OWID_WRL,744,278.421
World,OWID_WRL,745,278.42
World,OWID_WRL,746,278.421
World,OWID_WRL,747,278.422
World,OWID_WRL,748,278.424
World,OWID_WRL,749,278.427
World,OWID_WRL,750,278.43
World,OWID_WRL,751,278.434
World,OWID_WRL,752,278.438
World,OWID_WRL,753,278.443
World,OWID_WRL,754,278.449
World,OWID_WRL,755,278.454
World,OWID_WRL,756,278.459
World,OWID_WRL,757,278.465
World,OWID_WRL,758,278.471
World,OWID_WRL,759,278.476
World,OWID_WRL,760,278.482
World,OWID_WRL,761,278.487
World,OWID_WRL,762,278.492
World,OWID_WRL,763,278.496
World,OWID_WRL,764,278.5
World,OWID_WRL,765,278.503
World,OWID_WRL,766,278.506
World,OWID_WRL,767,278.508
World,OWID_WRL,768,278.51
World,OWID_WRL,769,278.511
World,OWID_WRL,770,278.512
World,OWID_WRL,771,278.512
World,OWID_WRL,772,278.513
World,OWID_WRL,773,278.512
World,OWID_WRL,774,278.512
World,OWID_WRL,775,278.512
World,OWID_WRL,776,278.511
World,OWID_WRL,777,278.51
World,OWID_WRL,778,278.509
World,OWID_WRL,779,278.508
World,OWID_WRL,780,278.507
World,OWID_WRL,781,278.507
World,OWID_WRL,782,278.506
World,OWID_WRL,783,278.505
World,OWID_WRL,784,278.505
World,OWID_WRL,785,278.505
World,OWID_WRL,786,278.505
World,OWID_WRL,787,278.505
World,OWID_WRL,788,278.506
World,OWID_WRL,789,278.508
World,OWID_WRL,790,278.509
World,OWID_WRL,791,278.512
World,OWID_WRL,792,278.514
World,OWID_WRL,793,278.518
World,OWID_WRL,794,278.522
World,OWID_WRL,795,278.526
World,OWID_WRL,796,278.532
World,OWID_WRL,797,278.538
World,OWID_WRL,798,278.545
World,OWID_WRL,799,278.553
World,OWID_WRL,800,278.562
World,OWID_WRL,801,278.571
World,OWID_WRL,802,278.582
World,OWID_WRL,803,278.593
World,OWID_WRL,804,278.605
World,OWID_WRL,805,278.618
World,OWID_WRL,806,278.631
World,OWID_WRL,807,278.645
World,OWID_WRL,808,278.66
World,OWID_WRL,809,278.675
World,OWID_WRL,810,278.691
World,OWID_WRL,811,278.707
World,OWID_WRL,812,278.724
World,OWID_WRL,813,278.741
World,OWID_WRL,814,278.759
World,OWID_WRL,815,278.777
World,OWID_WRL,816,278.795
World,OWID_WRL,817,278.813
World,OWID_WRL,818,278.832
World,OWID_WRL,819,278.851
World,OWID_WRL,820,278.87
World,OWID_WRL,821,278.889
World,OWID_WRL,822,278.908
World,OWID_WRL,823,278.928
World,OWID_WRL,824,278.947
World,OWID_WRL,825,278.966
World,OWID_WRL,826,278.985
World,OWID_WRL,827,279.004
World,OWID_WRL,828,279.023
World,OWID_WRL,829,279.042
World,OWID_WRL,830,279.06
World,OWID_WRL,831,279.079
World,OWID_WRL,832,279.096
World,OWID_WRL,833,279.114
World,OWID_WRL,834,279.131
World,OWID_WRL,835,279.148
World,OWID_WRL,836,279.164
World,OWID_WRL,837,279.18
World,OWID_WRL,838,279.195
World,OWID_WRL,839,279.21
World,OWID_WRL,840,279.224
World,OWID_WRL,841,279.238
World,OWID_WRL,842,279.25
World,OWID_WRL,843,279.263
World,OWID_WRL,844,279.274
World,OWID_WRL,845,279.284
World,OWID_WRL,846,279.294
World,OWID_WRL,847,279.303
World,OWID_WRL,848,279.311
World,OWID_WRL,849,279.318
World,OWID_WRL,850,279.324
World,OWID_WRL,851,279.329
World,OWID_WRL,852,279.333
World,OWID_WRL,853,279.335
World,OWID_WRL,854,279.337
World,OWID_WRL,855,279.337
World,OWID_WRL,856,279.337
World,OWID_WRL,857,279.335
World,OWID_WRL,858,279.331
World,OWID_WRL,859,279.327
World,OWID_WRL,860,279.321
World,OWID_WRL,861,279.314
World,OWID_WRL,862,279.306
World,OWID_WRL,863,279.298
World,OWID_WRL,864,279.288
World,OWID_WRL,865,279.277
World,OWID_WRL,866,279.266
World,OWID_WRL,867,279.254
World,OWID_WRL,868,279.241
World,OWID_WRL,869,279.228
World,OWID_WRL,870,279.214
World,OWID_WRL,871,279.2
