,Land,Ocean
JAMSTEC,-1.929153148816223,-1.854046148523337
JENA_s76,-1.5830870961559065,-2.0544652349838533
JENA_s85,-1.6173573418212424,-1.998928654460085
CTRACKER,-1.7816354278207325,-2.2484419807798504
CAMS,-1.9161172001506397,-1.9333898412771284
