Year,earth_land_total,earth_ocean_total
2000,6.726110470305464,-2.7420683651541893
2001,6.887112402132418,-1.9269301205972118
2002,6.987104395500065,-0.6270640220299677
2003,7.36919855421944,-0.5001198684748889
2004,7.735201726400906,-1.8956592749996464
2005,8.034312476061434,-0.5734486273025377
2006,8.3254429133009,-1.209422607470164
2007,8.492747365982904,-1.271042923578016
2008,8.768196655296824,-3.4705322818432345
2009,8.69156244039812,-2.7883633157591845
2010,9.123916472047398,-1.0990978850894217
2011,9.497867859074924,-3.0986101439748763
2012,9.670149956348032,-1.625070975336238
2013,9.76817549442557,-1.6382278743174439
2014,9.851184412808754,-3.5456031543292554
2015,9.834166487360804,-1.7816354278207325
2016,9.878188931028193,-1.54933187078068
2017,10.002190050796372,-2.084475276511462
