Year,earth_land_total,earth_ocean_total
1976,-1.222170862446101,-1.8593727754463467
1977,0.7017947209134803,-1.455514976211052
1978,-0.7247068053359174,-1.633429336834294
1979,-0.18607626142366218,-1.6005152983383302
1980,-0.15021684999646023,-1.5869978937857723
1981,-0.5590904264926307,-1.8904363297993192
1982,-1.2194736559187056,-1.8868777023016068
1983,0.5237901780400622,-1.1818782105753551
1984,-0.5309622335578174,-1.9529387101451163
1985,-0.7555383615706808,-1.8379772633684774
1986,-1.1325732930005676,-1.7424295476399627
1987,0.6701838253432209,-1.4243446255517211
1988,0.22852356858377343,-1.7231029989074498
1989,-0.9395865323893177,-2.2349579223787344
1990,-0.9336250439717472,-2.19657671869686
1991,-1.5808260801208789,-2.3064756771769477
1992,-2.2247008602302105,-2.243361432441725
1993,-1.5011813156091507,-2.176452485290461
1994,-0.17137370777029792,-1.82874746260152
1995,-0.31908660102685893,-1.8472342001717619
1996,-1.5794274505748638,-2.285510745237078
1997,-0.5206659918392338,-2.1524048512993095
1998,0.8422255139808121,-1.6031166559263246
1999,-1.5706351622184478,-2.0956814822183647
2000,-1.3526128214116158,-2.2233464019013573
2001,-0.9077129729861293,-2.1488536679477126
2002,-0.28127220195810154,-1.824491734338535
2003,-0.687879014117871,-2.1362787527609153
2004,-1.8534606294212073,-2.3030421601007096
2005,-0.632944891233086,-2.0675501295322807
2006,-2.1772276379052737,-2.563489848875924
2007,-1.837613486426376,-2.161786850865371
2008,-2.5540959107048113,-2.6827003925606348
2009,-2.4263978384520897,-2.4298659033797376
2010,-1.7611293521452138,-2.2342696000533655
2011,-2.725556451277945,-2.753487447396606
2012,-1.9447778058959644,-2.424753665136129
2013,-2.297422272943173,-2.3798972969102983
2014,-3.029891784042397,-2.62433908180094
2015,-1.5830870961559065,-2.0544652349838533
2016,-1.454399824156897,-2.098912096435963
2017,-2.908040746453725,-2.661086532679928
