Year,Earth_Land,Earth_Ocean
1992,-2.446948228042133,-0.25219750030857574
1993,-3.34941021625888,1.2413279516464315
1994,-0.7344973091205665,0.1129746915973068
1995,-0.8119558949942292,0.22552619567128948
1996,-2.308522982448819,0.3961916428072284
1997,-0.5340008592791193,-0.4666306641883039
1998,1.018407946567014,-0.42608230358213256
1999,-2.1360877866354384,0.14357767361418242
2000,-2.135034793093321,0.29812396521116585
2001,-2.042849965823414,0.20149406735694977
2002,-0.41553199192534673,0.08921221567823429
2003,-1.019339283538535,-0.019894105230203074
2004,-2.486873799410162,0.18982137118114717
2005,-0.9653138092898456,-0.11946426918535005
2006,-2.9528609249637183,-0.30483338774864716
2007,-1.819297696094968,-0.2735108212894787
2008,-3.5229951464687903,0.09241515530929842
2009,-3.0063740701599233,-0.39640324492593565
2010,-2.5140987491015307,0.032581684029178715
2011,-4.192337890211309,0.17938471808057543
2012,-2.7683636076007847,-0.11965108353845448
